Instance,Algorithm,BestValue,MeanValue,StdDev
p01,DP,309,309,0
p01,HillClimbing,309,227.4,44.26
p01,SimulatedAnnealing,309,304.9,10.1
p02,DP,51,51,0
p02,HillClimbing,51,44.95,5.72
p02,SimulatedAnnealing,51,51,0.0
p03,DP,150,150,0
p03,HillClimbing,146,115.55,14.77
p03,SimulatedAnnealing,150,150,0.0
p04,DP,107,107,0
p04,HillClimbing,107,94.6,10.63
p04,SimulatedAnnealing,107,107,0.0
p05,DP,900,900,0
p05,HillClimbing,900,824.1,115.66
p05,SimulatedAnnealing,900,900,0.0
p06,DP,1735,1735,0
p06,HillClimbing,1706,1602.25,65.74
p06,SimulatedAnnealing,1735,1723.4,16.28
p07,DP,1458,1458,0
p07,HillClimbing,1443,1404.15,36.79
p07,SimulatedAnnealing,1454,1444.15,4.32
p08,DP,13549094,13549094,0
p08,HillClimbing,13141901,12949112.35,153036.99
p08,SimulatedAnnealing,13276630,12852541.15,227289.02
